"","date","fitted_values","predicted_lower","predicted_upper","exports","residuals"
"1",2018-02-01,102.412969591467,99.8458136541398,105.000733204287,100.21687891984,-2.19609067162644
"2",2018-03-01,101.769496256321,99.1281007524666,104.373901476224,101.193191369688,-0.576304886632713
"3",2018-04-01,100.75843093295,98.2878149237073,103.242796348335,102.386380606237,1.62794967328774
"4",2018-05-01,103.153513444399,100.592401623147,105.709912039655,101.47510275451,-1.6784106898894
"5",2018-06-01,100.220785462821,97.6403545778896,102.818107838359,103.644941708846,3.42415624602502
"6",2018-07-01,100.91399143069,98.4958813674749,103.345775122401,98.7377216315056,-2.17626979918455
"7",2018-08-01,99.3558991894159,96.878319399848,101.82475503286,99.3210199678971,-0.0348792215187359
"8",2018-09-01,99.6673077773847,97.1264502535065,102.20770934944,98.5975895016634,-1.06971827572131
"9",2018-10-01,99.045028409765,96.4179996101479,101.646444622852,99.6906133045172,0.645584894752261
"10",2018-11-01,101.812979142758,99.3297807072469,104.304213898705,100.64860962457,-1.16436951818751
"11",2018-12-01,100.869950388681,98.4353804157435,103.317337192748,99.6652537847198,-1.20469660396084
"12",2019-01-01,102.165357580196,99.6524549021233,104.687324805672,100.678076935992,-1.48728064420337
"13",2019-02-01,96.4676916001156,93.9352091247832,98.9711634422885,95.9508487587764,-0.516842841339127
"14",2019-03-01,97.7127252465149,95.2015568487909,100.228720540569,100.414330602612,2.70160535609756
"15",2019-04-01,96.317486100346,93.8387809308325,98.7776967707882,99.5485698065099,3.23108370616393
"16",2019-05-01,97.597172254898,95.0130792546504,100.211619440381,99.7179262817794,2.1207540268814
"17",2019-06-01,98.7846510964169,96.2702937521814,101.288875442647,99.7176555461666,0.93300444974966
"18",2019-07-01,100.062336408526,97.4141380194639,102.693702561959,98.6935428415143,-1.36879356701172
"19",2019-08-01,99.1332747870564,96.5385433329557,101.697769116993,99.12035561742,-0.0129191696364046
"20",2019-09-01,101.165837369914,98.672370383422,103.667685213737,96.7108069986016,-4.45503037131201
"21",2019-10-01,99.1756652145951,96.5839888829869,101.754403903833,99.3670920771508,0.191426862555744
"22",2019-11-01,101.971838851314,99.4281485633042,104.490753445509,98.2394425103031,-3.73239634101097
"23",2019-12-01,95.1900213431982,92.6138767197373,97.7723354975298,96.7957396074862,1.60571826428797
"24",2020-01-01,100.451700669213,97.9409862069681,102.988746029876,97.4977804173703,-2.95392025184223
"25",2020-02-01,99.69509881515,97.1309870010758,102.283588289059,98.8923139323756,-0.802784882774333
"26",2020-03-01,89.6509682287518,86.8093151358432,92.5183784202666,96.7572212049644,7.10625297621256
"27",2020-04-01,86.0631430233613,83.3941975753348,88.7333348491043,84.6563891126269,-1.40675391073438
"28",2020-05-01,85.8146292943845,83.1829926833254,88.4206986911515,79.5754033485499,-6.23922594583456
"29",2020-06-01,88.7366148346246,86.2826507402352,91.1662479284846,78.7310752035106,-10.005539631114
"30",2020-07-01,89.3782893518142,86.8724529811812,91.8699768730418,83.6831627122493,-5.69512663956493
"31",2020-08-01,90.8706206538375,88.4879663450157,93.2486392834985,84.7944956868145,-6.07612496702292
"32",2020-09-01,91.0212838452579,88.5617491887974,93.474006664913,88.4606228037331,-2.56066104152485
"33",2020-10-01,91.0650853749336,88.4935328301956,93.6569949490464,90.2064530890018,-0.858632285931876
"34",2020-11-01,92.6355407473732,90.26179100675,95.0005438446987,94.8775172432826,2.24197649590946
"35",2020-12-01,92.4707010711385,89.9729537188986,94.9649026071716,94.4643327705701,1.99363169943159
"36",2021-01-01,89.586706247272,87.1298770624935,92.0466298468797,95.7366158085149,6.14990956124291
"37",2021-02-01,93.9742041109548,91.6176617406071,96.3403788684982,92.7176867339212,-1.25651737703363
"38",2021-03-01,96.8073409601311,94.4080677157857,99.2052801178851,98.5755723926802,1.76823143254906
"39",2021-04-01,99.6791600642483,97.2050741731385,102.162007824594,100.85405872728,1.17489866303194
"40",2021-05-01,98.640625921608,96.2808167550783,101.011871925194,105.305836998705,6.66521107709652
"41",2021-06-01,100.687217778232,98.2438728518244,103.155730978581,100.817930039735,0.130712261503447
"42",2021-07-01,98.0023549189841,95.0793593025546,100.974531505405,99.4707688439333,1.46841392494915
"43",2021-08-01,98.0315711489709,95.6570091274903,100.406226816659,98.5113510998211,0.479779950850215
"44",2021-09-01,100.110560240955,97.6661452204594,102.559750886203,95.2140261287023,-4.89653411225299
"45",2021-10-01,100.279973773799,97.7949286631163,102.761430871307,101.310606383554,1.03063260975513
"46",2021-11-01,103.978650845626,101.381263034954,106.622060461929,100.478688992003,-3.49996185362268
"47",2021-12-01,98.7265566532086,96.0978950365982,101.331588271348,95.7479761449568,-2.97858050825178
"48",2022-01-01,98.6960883294551,96.3313519399241,101.057098720475,98.9084490857432,0.212360756288163
"49",2022-02-01,97.2327895155902,94.8518856279938,99.6185097800044,100.929298988532,3.69650947294228
"50",2022-03-01,101.025984853133,98.593893751539,103.461822164099,100.162656143814,-0.863328709318438
"51",2022-04-01,100.715780506348,98.0679052981374,103.333551367764,103.861898385572,3.14611787922354
"52",2022-05-01,102.630541549482,100.181580793875,105.075676491351,106.489755073481,3.85921352399887
"53",2022-06-01,104.637657990584,102.059476940653,107.232521343988,108.050856237189,3.41319824660557
"54",2022-07-01,103.214707984434,100.758851997412,105.673109543819,103.97141904276,0.756711058326417
"55",2022-08-01,102.740159810044,100.339544339438,105.150900164585,107.067019005564,4.32685919552
"56",2022-09-01,102.541097070735,100.160705281813,104.929688700622,106.155254185006,3.61415711427085
