"","date","fitted_values","predicted_lower","predicted_upper","CPI_US","residuals"
"1",2018-02-01,0.27815711784628,0.105365358131779,0.451311419025988,0.269201702272102,-0.00895541557417817
"2",2018-03-01,0.0170753701300313,-0.169328417639406,0.200851799952686,0.0603603220896549,0.0432849519596236
"3",2018-04-01,0.120799969824317,-0.0614241746473888,0.302456916088007,0.301896351106677,0.181096381282359
"4",2018-05-01,0.260146474301654,0.0837983847525989,0.438798591149464,0.275156649060995,0.0150101747593415
"5",2018-06-01,0.29080214621503,0.115556297480882,0.466651888418994,-0.0418534012077081,-0.332655547422738
"6",2018-07-01,0.146899443154597,-0.0209648973423058,0.314789375927697,0.135518514815036,-0.0113809283395606
"7",2018-08-01,0.32933575880371,0.151448987030281,0.508582155871522,0.177906410027101,-0.151429348776609
"8",2018-09-01,0.217211175904589,0.0232480286068452,0.414920850513853,0.18854802689321,-0.0286631490113793
"9",2018-10-01,0.216585232275115,0.035869967063729,0.394979827116829,0.222181436035285,0.00559620376016967
"10",2018-11-01,0.398106419217232,0.227247394904945,0.570465070670444,-0.0237947359540324,-0.421901155171264
"11",2018-12-01,-0.0616352062626078,-0.241529142431334,0.116461297819913,0.0227930409747487,0.0844282472373564
"12",2019-01-01,0.182277325071594,-0.00553419273401573,0.371788001940511,-0.0440363537515138,-0.226313678823108
"13",2019-02-01,0.126594794935392,-0.0791036929371814,0.337816792058005,0.238438018795244,0.111843223859852
"14",2019-03-01,0.0692711945213628,-0.110866866609081,0.249131672071463,0.398383567355328,0.329112372833965
"15",2019-04-01,0.271350152120551,0.0948509469387318,0.449173123827009,0.433887356060858,0.162537203940306
"16",2019-05-01,0.142787571201204,-0.0519706664569538,0.338824998794916,0.0721408154559062,-0.0706467557452981
"17",2019-06-01,0.018824984850743,-0.155771388829879,0.194061649632838,-0.18132625321392,-0.200151238064663
"18",2019-07-01,0.230026888261964,0.0576428113016571,0.403326095505325,0.295866350831857,0.0658394625698927
"19",2019-08-01,0.254736272717047,0.0863533010799309,0.423692544129217,0.11728535358309,-0.137450919133957
"20",2019-09-01,0.132539312097976,-0.0448127917658777,0.309311083712434,0.150690366997185,0.0181510548992092
"21",2019-10-01,0.244385016553712,0.0679334348160384,0.422641923980661,0.274124145685698,0.0297391291319864
"22",2019-11-01,0.400410760986973,0.229431504781326,0.572432839320569,0.257515812389118,-0.142894948597855
"23",2019-12-01,0.148452216659188,-0.0354558697757206,0.334657041139172,0.251212369982478,0.10276015332329
"24",2020-01-01,0.181303963131708,0.00405633584994576,0.35940826006778,0.153280973505289,-0.028022989626419
"25",2020-02-01,0.0346278294790568,-0.152866121387816,0.223425094376957,0.0897945179350953,0.0551666884560385
"26",2020-03-01,-0.289641907764661,-0.491153764212804,-0.0927440374901069,-0.383397371503728,-0.0937554637390672
"27",2020-04-01,-0.234164833608587,-0.423917653326304,-0.0470345365236341,-0.764306991927934,-0.530142158319348
"28",2020-05-01,0.0926999830292026,-0.0808612143327595,0.266269398452046,-0.1387848818141,-0.231484864843303
"29",2020-06-01,0.203036483182877,0.0332152233438594,0.373018905415696,0.345963721415431,0.142927238232554
"30",2020-07-01,0.415285901512984,0.241842869451067,0.590783556921276,0.634596538753528,0.219310637240545
"31",2020-08-01,0.256399806150281,0.0882370143704065,0.42473166710489,0.437673229599499,0.181273423449217
"32",2020-09-01,0.466582009792334,0.293457268517841,0.641147015282242,0.211620203630845,-0.254961806161489
"33",2020-10-01,0.351980836440578,0.179273425385795,0.525096059013396,0.0869988663963129,-0.264981970044265
"34",2020-11-01,0.334136540939854,0.165932444781781,0.502446216560111,0.250077394071651,-0.084059146868203
"35",2020-12-01,0.41206780271233,0.241976829836191,0.583103181223543,0.436337169192117,0.0242693664797873
"36",2021-01-01,0.211035110843572,0.041621060714982,0.380307039535509,0.190682328426528,-0.0203527824170434
"37",2021-02-01,0.231656202190454,0.0647098356355472,0.398387981866721,0.363170984177896,0.131514781987443
"38",2021-03-01,0.213992964194633,0.0443587993781754,0.383141088394357,0.542575045049702,0.328582080855069
"39",2021-04-01,0.531425313131667,0.35344135126782,0.709437568706092,0.72627811017779,0.194852797046123
"40",2021-05-01,0.402652313916311,0.237554248283215,0.5681254688491,0.660975471993765,0.258323158077454
"41",2021-06-01,0.376254875464657,0.208209288051876,0.544268697632782,0.727825318873624,0.351570443408967
"42",2021-07-01,0.439176436050481,0.270867824848724,0.607760589921712,0.609824541215923,0.170648105165442
"43",2021-08-01,0.450903855476938,0.279388134586543,0.626225398307616,0.328943313552533,-0.121960541924405
"44",2021-09-01,0.521038377322651,0.349849670203134,0.693161067733963,0.343942595210006,-0.177095782112645
"45",2021-10-01,0.558073145062547,0.382515541391286,0.732955186920162,0.876316945663016,0.318243800600469
"46",2021-11-01,0.674936148040485,0.496507510878584,0.853068371318371,0.802482866290827,0.127546718250342
"47",2021-12-01,0.504987464852765,0.331313378793076,0.680754591862983,0.649441038636215,0.144453573783449
"48",2022-01-01,0.5427849961473,0.375672657545809,0.710920986384887,0.606761358078325,0.0639763619310246
"49",2022-02-01,0.499830159026717,0.332595216024414,0.668004557566727,0.729130630433249,0.229300471406532
"50",2022-03-01,0.557321211730887,0.391098165095356,0.725139776307778,1.16938568653102,0.612064474800134
"51",2022-04-01,0.497585445496122,0.312035059368973,0.686073833038422,0.462640297337281,-0.0349451481588411
"52",2022-05-01,0.594434030076681,0.421057983462863,0.769967745126948,0.961617356477375,0.367183326400695
"53",2022-06-01,0.589762925643356,0.417739954191725,0.762903745289621,1.17236660451991,0.582603678876554
