"","date","fitted_values","predicted_lower","predicted_upper","gscpi","residuals"
"1",2018-01-31,1.24380303124156,0.626956153770193,1.86161828173768,NA,NA
"2",2018-02-28,-0.108529164590406,-0.720163389190678,0.500405014786493,0.05,0.158529164590406
"3",2018-03-31,0.371660051310118,-0.218006405072163,0.966246458726548,0.42,0.0483399486898818
"4",2018-04-30,-0.121081734582672,-0.733072879544242,0.4913258644148,0.5,0.621081734582672
"5",2018-05-31,1.22668502317215,0.623978957295291,1.83066003620644,0.36,-0.866685023172153
"6",2018-06-30,0.312184505442311,-0.266976477465351,0.887978832668923,0.41,0.0978154945576894
"7",2018-07-31,0.83516807145548,0.217032831237066,1.45203042920546,0.42,-0.41516807145548
"8",2018-08-31,0.305802607688219,-0.325252805295646,0.938640076791368,0.51,0.204197392311781
"9",2018-09-30,1.15050203541329,0.472823653332488,1.82774437041919,0.44,-0.710502035413294
"10",2018-10-31,0.291546817671673,-0.286641156175101,0.865059768663233,0.51,0.218453182328327
"11",2018-11-30,-0.228090682787248,-0.802756325968614,0.347606767590131,0.44,0.668090682787248
"12",2018-12-31,-0.186529970836386,-0.785195524763601,0.41783993065548,0.45,0.636529970836386
"13",2019-01-31,0.398788820080197,-0.227383929025069,1.04427677900351,0.5,0.101211179919803
"14",2019-02-28,0.215861121546518,-0.380688507360954,0.816927458294839,0.13,-0.085861121546518
"15",2019-03-31,-0.662452245031059,-1.27165476914986,-0.0457903995114737,0.2,0.862452245031059
"16",2019-04-30,-0.0827466549472615,-0.746534474571137,0.580744431428635,0.01,0.0927466549472615
"17",2019-05-31,-0.426892296078416,-1.05567132284696,0.198656135054417,-0.62,-0.193107703921584
"18",2019-06-30,-0.279179716591926,-0.890499649539846,0.33888149362945,-0.46,-0.180820283408074
"19",2019-07-31,0.41502734115762,-0.1593506216104,0.989097885171952,-0.45,-0.86502734115762
"20",2019-08-31,1.16828970318704,0.57578765328248,1.77568958648406,-0.28,-1.44828970318704
"21",2019-09-30,-0.112465966783709,-0.70358708993269,0.471531440122158,0.15,0.262465966783709
"22",2019-10-31,0.0279625131368937,-0.578109089599465,0.631652162968206,0.11,0.0820374868631063
"23",2019-11-30,-0.434698792400622,-1.1156553132289,0.234090672242523,0.16,0.594698792400622
"24",2019-12-31,-0.270961431434665,-0.884489581836405,0.34851010279655,0.05,0.320961431434665
"25",2020-01-31,0.461667082170262,-0.167521060555381,1.09788246020034,0.07,-0.391667082170262
"26",2020-02-29,3.96827656704243,3.3007340527465,4.63101471102205,1.24,-2.72827656704243
"27",2020-03-31,3.49499322868966,2.87385061180214,4.11306223907014,2.57,-0.924993228689656
"28",2020-04-30,3.51341718222231,2.90591339019516,4.12050882862503,3.26,-0.253417182222315
"29",2020-05-31,2.47048582489228,1.88604668613754,3.05964247336218,2.49,0.0195141751077177
"30",2020-06-30,1.71762998350259,1.11697807834716,2.3129731390407,2.24,0.522370016497406
"31",2020-07-31,1.50686768160974,0.938543454940375,2.07371998407929,2.95,1.44313231839026
"32",2020-08-31,1.23883767054884,0.648585260228775,1.82857158465852,1.48,0.241162329451164
"33",2020-09-30,0.664285677115718,0.0658982054495505,1.2640285019278,0.63,-0.0342856771157178
"34",2020-10-31,1.16952250638041,0.595430693794885,1.74668498867971,0.12,-1.04952250638041
"35",2020-11-30,0.722114742825231,0.120576790187541,1.32653993771167,0.74,0.0178852571747687
"36",2020-12-31,1.11680624155899,0.541742070871165,1.69637708901229,1.66,0.543193758441013
"37",2021-01-31,1.9533586059537,1.37816530158022,2.5312646858547,1.3,-0.653358605953697
"38",2021-02-28,1.73910218402157,1.16327004007146,2.31468143862416,1.92,0.180897815978435
"39",2021-03-31,2.34476919669926,1.74052227548416,2.94879737865882,2.23,-0.114769196699263
"40",2021-04-30,2.27271152375591,1.71166461969007,2.83633073069986,2.72,0.447288476244089
"41",2021-05-31,2.37842017026202,1.81566791044673,2.94554809636838,3.01,0.631579829737984
"42",2021-06-30,2.393748395651,1.78345897734125,3.0064099805853,2.74,0.346251604349005
"43",2021-07-31,1.87285532624544,1.30197995884628,2.44678132333325,2.91,1.03714467375456
"44",2021-08-31,2.40435713537896,1.82266441802428,2.98645923025953,3.26,0.855642864621042
"45",2021-09-30,3.72963179683221,3.11938445319931,4.34962733133883,3.33,-0.39963179683221
"46",2021-10-31,3.79553071494054,3.19946993083324,4.39124352908916,3.86,0.0644692850594564
"47",2021-11-30,2.42646507151306,1.85516412963635,3.00073751311161,4.27,1.84353492848693
"48",2021-12-31,2.3545280597358,1.78832529846345,2.92591508103743,4.36,2.0054719402642
"49",2022-01-31,2.26650387327309,1.70685312712241,2.82728682296661,3.67,1.40349612672691
"50",2022-02-28,2.17281782697458,1.60317881385646,2.74468244665921,2.77,0.597182173025422
"51",2022-03-31,1.70839193196811,1.07670250453053,2.34098730005685,2.81,1.10160806803189
"52",2022-04-30,2.11360838069339,1.53205516764598,2.70387282199979,3.49,1.37639161930661
"53",2022-05-31,2.55809797194612,1.95068372257408,3.16825194274293,2.71,0.151902028053881
"54",2022-06-30,2.14700814470758,1.54777697756638,2.74904750952825,2.4,0.252991855292419
"55",2022-07-31,1.70040943461778,1.12603507272721,2.2772240946772,1.8,0.0995905653822169
"56",2022-08-31,1.2238006346812,0.649561944418499,1.80049344483971,1.5,0.276199365318796
"57",2022-09-30,0.811950408157611,0.243592168756732,1.38138065324908,0.98,0.168049591842389
"58",2022-10-31,1.56494117548272,0.984096509870921,2.15018939407057,1.1,-0.464941175482724
