"","date","fitted_values","predicted_lower","predicted_upper","imports","residuals"
"1",2018-02-01,105.789868616329,101.201155007079,110.333077465275,101.64189048866,-4.14797812766818
"2",2018-03-01,102.86307454794,97.9837793117747,107.757961980227,93.1821194475678,-9.68095510037223
"3",2018-04-01,90.3636137971224,85.6721022983314,94.9556074620572,95.1525006334291,4.78888683630677
"4",2018-05-01,106.981563746858,102.504813187262,111.480293600138,100.737280738226,-6.24428300863161
"5",2018-06-01,98.5986352189123,94.3630997797104,102.875584667482,99.4853226110022,0.886687392089897
"6",2018-07-01,100.098731300946,95.6543616652761,104.490657943454,101.149849505177,1.05111820423126
"7",2018-08-01,103.068445147325,98.7535001446789,107.402278152859,98.868286611852,-4.20015853547328
"8",2018-09-01,99.6877894715278,95.2046390742695,104.284681729764,98.3182445101302,-1.36954496139766
"9",2018-10-01,101.37482536133,96.9451998249531,105.747708426261,106.187510425046,4.81268506371602
"10",2018-11-01,108.012474233964,103.736287519154,112.309959797422,101.059524117288,-6.95295011667673
"11",2018-12-01,100.735033801417,96.3411155079048,105.144832384767,104.877988476933,4.14295467551595
"12",2019-01-01,105.636527568293,100.78510453691,110.634889927697,103.899208885888,-1.73731868240533
"13",2019-02-01,97.5477100995559,93.0031836576313,102.304007806906,100.209129816606,2.66141971704977
"14",2019-03-01,87.0709954262435,82.6223940976691,91.53326260648,95.2315103256129,8.16051489936947
"15",2019-04-01,98.9871989262334,94.2677360105386,103.777321865063,99.7872502362923,0.800051310058947
"16",2019-05-01,92.807463013223,88.1903942082411,97.4991659920237,100.731540258168,7.92407724494554
"17",2019-06-01,99.3127396663328,94.6992559338072,103.881705335154,95.3593667579861,-3.95337290834674
"18",2019-07-01,102.667928836033,98.1570638467202,107.126734870517,102.468250050555,-0.199678785478497
"19",2019-08-01,102.997727211532,98.7891697880932,107.32138828775,97.4921082975667,-5.50561891396538
"20",2019-09-01,98.0259504815231,93.4185023521765,102.548355194179,95.4523371507774,-2.57361333074572
"21",2019-10-01,94.4388475384077,89.156737433585,99.5933660204265,94.5055622032473,0.06671466483958
"22",2019-11-01,104.752364012727,100.462095827646,109.043292009957,92.1089267224705,-12.6434372902569
"23",2019-12-01,93.824405746866,89.4082237445694,98.2699061586681,93.3772065914334,-0.447199155432656
"24",2020-01-01,101.349684135547,96.8643979840929,105.87894909344,96.0430994700715,-5.30658466547554
"25",2020-02-01,88.2254687949308,83.5228527155081,92.9216152993693,91.607391334507,3.38192253957621
"26",2020-03-01,85.468242930704,80.8068360547844,90.135543756241,84.9065392749974,-0.561703655706594
"27",2020-04-01,89.376496487809,84.7588393242228,93.9634304572273,88.3374097550579,-1.03908673275116
"28",2020-05-01,89.2121194029398,84.844548071666,93.5733691548483,77.1438344237703,-12.0682849791695
"29",2020-06-01,95.4950116323886,91.2374235545532,99.7542377424905,82.707971220128,-12.7870404122606
"30",2020-07-01,94.3490401899954,90.0252855384754,98.6566043815654,92.8574232660403,-1.49161692395519
"31",2020-08-01,97.852042572441,93.6944569029327,102.022318550064,96.4988324087603,-1.35321016368074
"32",2020-09-01,104.189098597821,99.8517279913042,108.560323778871,102.83438658223,-1.35471201559079
"33",2020-10-01,106.682506074485,102.212289332994,111.143675795311,104.482079119855,-2.20042695462983
"34",2020-11-01,101.358880693006,97.162604041173,105.557297132928,106.546493052015,5.18761235900931
"35",2020-12-01,104.334223734307,100.087344862682,108.601749962617,108.300403919233,3.96618018492622
"36",2021-01-01,105.656474665753,101.385206767728,109.928374781203,104.148457701481,-1.50801696427239
"37",2021-02-01,103.873432251131,99.6464061613249,108.133170485207,103.062545981244,-0.81088626988614
"38",2021-03-01,109.372049052594,105.245818959308,113.517038982509,121.901331473876,12.5292824212825
"39",2021-04-01,114.024780753188,109.616715690391,118.445306499568,112.794813594857,-1.22996715833143
"40",2021-05-01,112.474077814706,108.318906514831,116.608652502801,114.474028923693,1.99995110898696
"41",2021-06-01,113.564035307982,109.457110788392,117.667521438922,113.783720489448,0.219685181465906
"42",2021-07-01,106.07092747801,101.741413011531,110.369392809097,112.163796507032,6.092869029022
"43",2021-08-01,121.292426363178,117.121048114857,125.460944236766,115.30722341921,-5.98520294396828
"44",2021-09-01,114.218106065527,109.960699185478,118.490822124984,116.449751469892,2.23164540436491
"45",2021-10-01,112.673203837105,108.220094749829,117.083151478336,113.024683405278,0.351479568173261
"46",2021-11-01,121.790738976136,117.32661283503,126.197338387937,120.147100193579,-1.64363878255716
"47",2021-12-01,125.198221973582,120.821478582741,129.55519758108,121.895820390863,-3.30240158271913
"48",2022-01-01,119.490608357569,115.329345460229,123.678776322113,121.679345579825,2.18873722225605
"49",2022-02-01,118.493642533633,114.306821314041,122.696606558363,123.946085760998,5.45244322736502
"50",2022-03-01,126.240264814809,121.93100912722,130.602533881998,138.088607699294,11.8483428844842
"51",2022-04-01,131.638632742772,127.033026073161,136.273253744831,133.074917831835,1.43628508906295
"52",2022-05-01,130.531722521217,126.177280450304,134.903403117929,137.494691453696,6.96296893247936
"53",2022-06-01,127.740084615714,123.525150439951,131.991316106113,133.928942698263,6.18885808254961
"54",2022-07-01,131.854606104616,127.594257790087,136.116112994931,130.021779129665,-1.83282697495042
"55",2022-08-01,127.118479914418,123.019557394474,131.227399342664,136.05050206884,8.93202215442236
"56",2022-09-01,123.191455296576,119.047518428018,127.345949592853,130.253233856613,7.06177856003721
"57",2022-10-01,128.975594103471,124.241224966769,133.874485022834,128.007602183111,-0.967991920360134
"58",2022-11-01,123.675776174808,119.580366143056,127.786053166209,120.844443235715,-2.83133293909256
