"","date","time_berth","queue_pola","queue_polb","terminal_pola","terminal_polb","turn_pola","turn_polb"
"1","2022-01-01",13.9612088407758,13.3145311916324,11.9217176515295,76.1322375793799,63.9669390081702,89.4467687710123,75.8886566596998
"2","2022-01-02",13.9371980676329,13.3145311916324,11.9217176515295,76.1322375793799,63.9669390081702,89.4467687710123,75.8886566596998
"3","2022-01-03",13.8628343136167,13.3145311916324,11.9244385230301,76.1322375793799,63.7988199467073,89.4467687710123,75.7232584697373
"4","2022-01-04",10.0344537815126,15.1061463046757,10.7199315979479,77.5948340874811,63.8924567737032,92.7009803921569,74.6123883716512
"5","2022-01-05",10.2361051271004,16.5604026845638,11.0100189035917,78.3288590604027,64.2120982986768,94.8892617449664,75.2221172022684
"6","2022-01-06",7.30992196209588,15.6756807161507,11.2786641929499,77.641738157404,64.3851576994434,93.3174188735546,75.6638218923933
"7","2022-01-07",7.27856365614799,17.3554694705774,12.2526813306672,77.7017155506364,67.1956007998546,95.0571850212138,79.4482821305217
"8","2022-01-08",7.91212121212121,18.1964765100671,12.1576273963624,78.2607382550336,67.1651646731116,96.4572147651007,79.322792069474
"9","2022-01-09",8.45,17.4101254064097,11.79181412525,77.7586313670847,66.338975226958,95.1687567734944,78.130789352208
"10","2022-01-10",8.85981308411215,17.3414483821263,11.8250038681727,77.5890600924499,66.3863530868018,94.9305084745763,78.2113569549745
"11","2022-01-11",9.3632183908046,16.7862745098039,12.5074834130535,78.0530920060332,65.5800030859435,94.8393665158371,78.0874864989971
"12","2022-01-12",9.22246696035242,16.0300637716368,12.6615886833515,76.5081992104464,65.4361884035442,92.5382629820832,78.0977770868957
"13","2022-01-13",9.62237762237762,16.4144807485811,12.3810951554363,73.7467402975917,64.510809531324,90.1612210461727,76.8919046867603
"14","2022-01-14",9.24752475247525,15.8859115567976,12.1515717926933,73.0940325497288,63.3892948173322,88.9799441065264,75.5408666100255
"15","2022-01-15",9.44622425629291,16.7373326554821,13.6948682385576,72.7141162514828,64.6484049930652,89.4514489069649,78.3432732316227
"16","2022-01-16",10.1378555798687,17.164749661705,13.6074572760228,72.2293640054127,64.4655618850337,89.3941136671177,78.0730191610565
"17","2022-01-17",10.2465517241379,17.0113427856547,13.5479993130689,72.1899916597164,64.8478447535635,89.2013344453711,78.3958440666323
"18","2022-01-18",10.0170454545455,15.9838009352037,13.4591184096802,71.3887775551102,64.9740708729473,87.372578490314,78.4331892826275
"19","2022-01-19",9.76267281105991,15.624427480916,15.062015503876,71.1618320610687,67.1745047372954,86.7862595419847,82.2365202411714
"20","2022-01-20",9.63615560640732,16.5789121338912,15.2774117249535,71.7489539748954,67.7524919749958,88.3278661087866,83.0299036999493
"21","2022-01-21",9.43708609271523,17.6040752351097,14.9417506297229,72.2061128526646,69.0856423173803,89.8101880877743,84.0273929471033
"22","2022-01-22",9.74720357941835,16.4169198055893,14.1362650975534,72.6965370595383,68.264478166615,89.1134568651276,82.4007432641685
"23","2022-01-23",8.84869565217391,16.0738610564553,14.1877334993773,73.199182685031,68.2085927770859,89.2730437414863,82.3963262764633
"24","2022-01-24",8.28039215686275,16.2271540469974,14.2306371018114,73.2756872984181,67.7792004996877,89.5028413454154,82.0098376014991
"25","2022-01-25",6.46555819477435,17.5987701767871,14.7381507381507,70.6316679477325,69.9264957264957,88.2304381245196,84.6646464646465
"26","2022-01-26",6.44389027431421,17.3073684210526,13.3659929023299,71.3971428571429,68.2442524301805,88.7045112781955,81.6102453325104
"27","2022-01-27",6.52232142857143,16.8736668168845,13.2819396953684,72.3098993540634,69.7332918868511,89.1835661709479,83.0152315822195
"28","2022-01-28",6.51670378619154,16.3350299401198,13.2044506258693,73.6245508982036,69.5316025343842,89.9595808383233,82.7360531602534
"29","2022-01-29",6.7056530214425,16.6317771084337,12.5589861751152,74.7525602409639,69.7400921658986,91.3843373493976,82.2990783410138
"30","2022-01-30",6.07441016333938,16.5676121867027,12.722895261463,75.2480864475462,69.6446863977917,91.8156986342488,82.3675816592547
"31","2022-01-31",6.19619047619048,16.6043641835967,12.6745643534087,75.3706546275395,69.6597370834607,91.9750188111362,82.3343014368695
"32","2022-02-01",8.35645472061657,15.8562820126544,12.6156567210089,75.778547755348,67.4032605352199,91.6348297680024,80.0189172562288
"33","2022-02-02",8.1033423445564,17.0251629528574,12.3962795060184,75.133090798848,69.5178990151634,92.1582537517053,81.9141785211818
"34","2022-02-03",7.82638370480964,16.3309966473636,12.9775121874509,75.5772630295642,69.3130995439535,91.9082596769278,82.2906117314043
"35","2022-02-04",7.60458790093382,15.5686603600854,15.6649850228598,73.2834909978639,68.0649534920385,88.8521513579493,83.7299385148983
"36","2022-02-05",7.34656413735912,14.9790560024283,15.7943851944793,71.9570496281682,67.8884880803011,86.9361056305964,83.6828732747804
"37","2022-02-06",6.86992522132768,15.1656516443362,15.9884438815894,71.5377588306943,69.4031977204369,86.7034104750305,85.3916416020263
"38","2022-02-07",6.87434269130197,15.1656516443362,15.9981018664979,71.5377588306943,69.3280607402721,86.7034104750305,85.32616260677
"39","2022-02-08",6.96812731043188,15.3765544434334,15.435476228084,74.1455868971793,67.6635602590428,89.5221413406127,83.0990364871268
"40","2022-02-09",6.58882212901032,14.7273687386844,14.7495701109895,75.460018105009,64.5413475066437,90.1873868436934,79.2909176176333
"41","2022-02-10",6.0481190093634,15.6546849150248,14.2367441860465,76.1889005865544,61.2641860465116,91.8435855015792,75.5009302325581
"42","2022-02-11",6.85486657271446,15.823060733614,13.0214431053373,76.8660553217078,59.5737987165441,92.6891160553217,72.5952418218814
