"","Date","gscpi"
"193","30-Sep-2013",-0.27
"194","31-Oct-2013",-0.18
"195","30-Nov-2013",-0.68
"196","31-Dec-2013",-0.48
"197","31-Jan-2014",-0.63
"198","28-Feb-2014",-0.29
"199","31-Mar-2014",-0.61
"200","30-Apr-2014",-0.81
"201","31-May-2014",-0.81
"202","30-Jun-2014",-0.68
"203","31-Jul-2014",-0.81
"204","31-Aug-2014",-0.63
"205","30-Sep-2014",-0.81
"206","31-Oct-2014",-0.59
"207","30-Nov-2014",-0.97
"208","31-Dec-2014",-0.39
"209","31-Jan-2015",-0.5
"210","28-Feb-2015",-0.31
"211","31-Mar-2015",-0.37
"212","30-Apr-2015",-0.33
"213","31-May-2015",-0.53
"214","30-Jun-2015",-0.85
"215","31-Jul-2015",-0.4
"216","31-Aug-2015",-0.67
"217","30-Sep-2015",-0.38
"218","31-Oct-2015",-0.22
"219","30-Nov-2015",-0.63
"220","31-Dec-2015",-0.59
"221","31-Jan-2016",-0.79
"222","29-Feb-2016",-0.73
"223","31-Mar-2016",-0.63
"224","30-Apr-2016",-0.26
"225","31-May-2016",-0.71
"226","30-Jun-2016",-0.28
"227","31-Jul-2016",-0.16
"228","31-Aug-2016",0.1
"229","30-Sep-2016",-0.29
"230","31-Oct-2016",-0.06
"231","30-Nov-2016",-0.31
"232","31-Dec-2016",-0.22
"233","31-Jan-2017",0.16
"234","28-Feb-2017",0.15
"235","31-Mar-2017",0.07
"236","30-Apr-2017",0
"237","31-May-2017",-0.14
"238","30-Jun-2017",0.09
"239","31-Jul-2017",0.09
"240","31-Aug-2017",0.39
"241","30-Sep-2017",0.55
"242","31-Oct-2017",0.77
"243","30-Nov-2017",0.81
"244","31-Dec-2017",0.68
"245","31-Jan-2018",0.58
"246","28-Feb-2018",0.05
"247","31-Mar-2018",0.42
"248","30-Apr-2018",0.5
"249","31-May-2018",0.36
"250","30-Jun-2018",0.41
"251","31-Jul-2018",0.42
"252","31-Aug-2018",0.51
"253","30-Sep-2018",0.44
"254","31-Oct-2018",0.51
